Project_id,source_id,Address,Town,Province,Source_type,results,Improvement,Source_status,Date_of_completion,Comments
2023,KiHa23041224,"49 Bujumbura Street",Harare,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2024,AmRu14057224,"30 Senghor Way",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2025,SoBa31652224,"85 Kwame Nkrumah Street",Bahari,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2026,KiMr24976224,"4 Mlima Wa Matumaini Street",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2027,KiRu27324224,"16 Bloemfontein Boulevard",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2028,AkRu04701224,"46 Windhoek Way",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2029,AkRu07151224,"85 Simba Tutu Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2030,KiRu29837224,"17 Soweto Blues Boulevard",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2031,KiRu29257224,"8 Bahari Ya Faraja Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2032,AmAm09367224,"46 Zambezi Way",Amina,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2033,HaDj16929224,"39 Amina Mohammed Drive",Djenne,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2034,SoMa34450224,"57 Usman dan Fodio Way",Marang,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2035,AmRu13932224,"123 Timbuktu Road",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2036,HaRu20227224,"34 Malaika Drive",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2037,AmDa11995224,"36 Nyoka Achebe Street",Dahabu,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2038,KiMr24933224,"163 Mlima Wa Matumaini Street",Mrembo,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2039,KiZu30750224,"141 Banjul Street",Zuri,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2040,HaRu20248224,"39 Malaika Drive",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2041,AmAb09034224,"102 Kinshasa Road",Abidjan,Amanzi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2042,HaDe16403224,"6 Ndege Tambo Road",Deka,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2043,KiRu25704224,"157 Acacia Lane",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2044,HaRu19620224,"19 Mto Mandela Avenue",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2045,SoKo33469224,"121 Mlima Wa Hekima Street",Kofi,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2046,HaDe16369224,"53 Ndege Tambo Road",Deka,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2047,AmRu13677224,"65 Khartoum Avenue",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2048,HaRu18575224,"98 Kano Street",Rural,Hawassa,river,NULL,NULL,Backlog,NULL,NULL
2049,KiRu27413224,"66 Kaduna Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2050,SoRu38267224,"119 Mto Wa Uzima Street",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2051,AkRu08850224,"67 Ladysmith Black Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2052,KiRu25878224,"8 Kudu Square",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2053,KiRu30164224,"29 Burna Boy Street",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2054,HaRu18963224,"107 Winnie Mandela Street",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2055,SoKo33411224,"95 Mlima Wa Hekima Street",Kofi,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2056,KiMr25198224,"41 Afrobeats Street",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2057,KiRu27920224,"42 Nyerere Ndovu Avenue",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2058,KiRu27449224,"121 Kaduna Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2059,AkRu05810224,"18 Mbeki Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2060,KiMr25055224,"89 Afrobeats Street",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2061,SoRu36140224,"15 Rabat Avenue",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2062,AmRu13269224,"188 Hurghada Street",Rural,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2063,KiRu28161224,"166 Kipepeo Johnson Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2064,HaAm15935224,"11 Garang Street",Amina,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2065,AkRu04565224,"140 Antananarivo Road",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2066,HaRu19711224,"40 Mlima Tazama Avenue",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2067,KiHa22723224,"90 Tripoli Street",Harare,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2068,HaRu17599224,"100 Constantine Road",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2069,SoRu35608224,"120 Monrovia Street",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2070,HaAm15926224,"86 Garang Street",Amina,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2071,SoRu35515224,"21 Monrovia Street",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2072,SoRu35421224,"45 Mandela Drive",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2073,HaRu19212224,"138 Kiboko Nkrumah Lane",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2074,SoRu36689224,"29 Machel Lane",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2075,AkRu05935224,"25 Mbeki Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2076,AkRu06027224,"106 Simba Road",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2077,HaYa21537224,"1 Wangari Maathai Avenue",Yaounde,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2078,SoRu35300224,"20 Nile Street",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2079,KiRu25829224,"186 Acacia Lane",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2080,HaAm16081224,"179 Garang Street",Amina,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2081,KiRu27033224,"168 Zanzibar Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2082,KiRu28816224,"186 Bahari Nzuri Street",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2083,SoRu39310224,"6 Isicathamiya Avenue",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2084,AmRu14252224,"26 Zinjathropus Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2085,KiRu26249224,"69 Kimathi Street",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2086,AkRu07216224,"70 Simba Tutu Street",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2087,AkRu05016224,"200 Bissau Street",Rural,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2088,AkRu02788224,"168 Nia Lane",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2089,KiAm22124224,"132 Lome Street",Amara,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2090,AkRu07454224,"37 Bahari Ya Kunata Avenue",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2091,AkHa00132224,"27 Addis Ababa Road",Harare,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2092,AmRu14191224,"181 Zinjathropus Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2093,HaRu18037224,"103 Lubumbashi Lane",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2094,AmRu14669224,"107 Nyama Choma Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2095,KiRu25257224,"72 Mwanza Street",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2096,KiZu30784224,"100 Banjul Street",Zuri,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2097,AkRu03100224,"18 Asmara Boulevard",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2098,HaRu19574224,"127 Mnyama Dangote Road",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2099,KiRu28159224,"155 Kipepeo Johnson Street",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2100,KiRu26463224,"70 Alexandria Avenue",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2101,KiHa22654224,"103 Tripoli Street",Harare,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2102,SoRu37261224,"32 Kofi Annan Avenue",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2103,HaRu16972224,"45 Twiga Lane",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2104,AmAs10838224,"190 Jangwa La Fisi Street",Asmara,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2105,SoRu36544224,"110 Machel Lane",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2106,KiRu27435224,"112 Kaduna Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2107,AmPw12421224,"13 Jengo Street",Pwani,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2108,KiRu26618224,"29 Gaborone Avenue",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2109,AmPw12520224,"177 Lagos Street",Pwani,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2110,AmRu14105224,"56 Senghor Way",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2111,KiZu30919224,"35 Yaounde Street",Zuri,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2112,KiRu27241224,"131 Maseru Road",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2113,SoRu38670224,"120 Mto Wa Ukarimu Street",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2114,KiIs23702224,"145 Cape Coast Road",Isiqalo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2115,SoIl32791224,"61 Bahari Tamu Road",Ilanga,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2116,KiRu25320224,"171 Mwanza Street",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2117,SoIl32498224,"150 Sfax Street",Ilanga,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2118,SoRu36704224,"63 Kamuzu Banda Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2119,SoRu34695224,"138 Simba Road",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2120,KiRu27204224,"84 Maseru Road",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2121,HaRu18048224,"46 Lubumbashi Lane",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2122,AkRu08751224,"193 Ladysmith Black Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2123,HaDe16529224,"110 Yvonne Chaka Road",Deka,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2124,AkRu05854224,"182 Mbeki Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2125,KiRu25522224,"29 Limpopo Trail",Rural,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2126,AmRu13666224,"56 Khartoum Avenue",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2127,KiZu31116224,"41 Maputo Drive",Zuri,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2128,KiRu26866224,"31 Zanzibar Street",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2129,HaRu17507224,"19 Rhodes Street",Rural,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2130,AmAs10754224,"3 Jangwa La Fisi Street",Asmara,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2131,AkRu07642224,"103 Mto Wa Furaha Road",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2132,SoRu36685224,"157 Machel Lane",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2133,AkLu02329224,"43 Okonjo-Iweala Street",Lusaka,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2134,AmAm09561224,"158 Lumumba Lane",Amina,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2135,KiMr25020224,"27 Ziwa La Tumaini Drive",Mrembo,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2136,AkRu02996224,"1 Dakar Crescent",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2137,AkHa00407224,"89 Oliver Tambo Street",Harare,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2138,SoRu36987224,"192 Ellen Johnson Sirleaf Street",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2139,SoRu34842224,"26 Amani Loop",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2140,AmAs10054224,"23 Tembo Road",Asmara,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2141,AkRu05416224,"148 Wole Soyinka Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2142,KiRu27839224,"49 Haile Selassie Avenue",Rural,Kilimani,river,NULL,NULL,Backlog,NULL,NULL
2143,HaYa21452224,"7 Okapi Road",Yaounde,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2144,SoRu36118224,"13 Niamey Drive",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2145,AmPw12636224,"165 Lagos Street",Pwani,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2146,AkHa00679224,"41 Yvonne Chaka Street",Harare,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2147,HaDj16786224,"89 Durban Road",Djenne,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2148,SoRu36373224,"22 Nkrumah Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2149,KiRu28405224,"11 Twiga Kagame Avenue",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2150,KiIs24130224,"3 Kiboko Senghor Road",Isiqalo,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2151,SoRu35353224,"161 Nile Street",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2152,AkRu05946224,"28 Mbeki Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2153,AkRu06029224,"62 Simba Road",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2154,SoRu38951224,"67 Asimbonanga Road",Rural,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2155,AkRu03901224,"23 Haile Selassie Avenue",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2156,SoCh32213224,"59 Mali Avenue",Cheche,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2157,HaYa21607224,"14 Djembe Drive",Yaounde,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2158,KiRu29002224,"114 Njia Ya Maji Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2159,AmRu15440224,"137 Jerusalema Lane",Rural,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2160,SoMa33860224,"107 Cissé Road",Majengo,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2161,KiRu26913224,"137 Zanzibar Street",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2162,AmAs10379224,"116 Eto'o Street",Asmara,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2163,AmRu13983224,"53 Timbuktu Road",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2164,AmRu14317224,"8 Julius Nyerere Drive",Rural,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2165,HaAm16124224,"2 Kifaru Lumumba Road",Amina,Hawassa,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2166,KiRu30412224,"50 Kinshasa Road",Rural,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2167,AmRu14780224,"186 Nyama Choma Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2168,AmBe11241224,"104 Mbuzi Mbeki Street",Bello,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2169,HaRu19972224,"67 Milima Kali Street",Rural,Hawassa,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2170,SoRu37026224,"94 Ellen Johnson Sirleaf Street",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2171,HaRu19784224,"115 Chanzo Cha Furaha Road",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2172,AkRu08219224,"78 Pwani Ya Utukufu Road",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2173,SoRu34980224,"18 Ebony Crest",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2174,HaRu19066224,"64 Winnie Mandela Street",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2175,AmAm09574224,"91 Lumumba Lane",Amina,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2176,AkKi01447224,"150 Zambezi Street",Kintampo,Akatsi,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2177,KiIs23739224,"127 Cape Coast Road",Isiqalo,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2178,AkRu03822224,"27 Lumumba Street",Rural,Akatsi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2179,SoRu38748224,"68 Mto Wa Ukarimu Street",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2180,SoRu36094224,"44 Niamey Drive",Rural,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2181,KiMr25113224,"162 Afrobeats Street",Mrembo,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2182,SoKo33431224,"75 Mlima Wa Hekima Street",Kofi,Sokoto,river,NULL,NULL,Backlog,NULL,NULL
2183,AmAm09594224,"149 Lumumba Lane",Amina,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2184,KiIs23484224,"145 Langata Road",Isiqalo,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2185,HaRu17445224,"44 Rhodes Street",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2186,SoRu35557224,"125 Monrovia Street",Rural,Sokoto,shared_tap,NULL,NULL,Backlog,NULL,NULL
2187,KiRu26606224,"44 Gaborone Avenue",Rural,Kilimani,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2188,AkLu02186224,"49 Okonjo-Iweala Street",Lusaka,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2189,AmAm09847224,"49 Afro Jazz Street",Amina,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2190,HaRu20062224,"87 Milima Kali Street",Rural,Hawassa,shared_tap,NULL,NULL,Backlog,NULL,NULL
2191,AkRu06161224,"96 Tembo Mandela Road",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2192,AkHa00471224,"27 Oliver Tambo Street",Harare,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2193,AkRu03325224,"83 Savanna Street",Rural,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2194,HaRu19194224,"18 Kiboko Nkrumah Lane",Rural,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2195,AkRu03530224,"120 Koinange Street",Rural,Akatsi,river,NULL,NULL,Backlog,NULL,NULL
2196,AmPw12640224,"171 Lagos Street",Pwani,Amanzi,river,NULL,NULL,Backlog,NULL,NULL
2197,AkLu02194224,"9 Okonjo-Iweala Street",Lusaka,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2198,KiRu28475224,"1 Sungura Amanpour Road",Rural,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
2199,KiRu27979224,"26 Duma Leakey Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2200,KiMr24507224,"85 Okocha Street",Mrembo,Kilimani,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2201,AmDa11450224,"50 Johannesburg Street",Dahabu,Amanzi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2202,AkLu01839224,"68 Lilongwe Street",Lusaka,Akatsi,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2203,SoIl32430224,"64 Sfax Street",Ilanga,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2204,SoMa34267224,"13 Freetown Road",Marang,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2205,SoRu37590224,"52 Panya Zinjathropus Avenue",Rural,Sokoto,well,"Contaminated: Chemical","Install RO filter",Backlog,NULL,NULL
2206,AmRu15304224,"110 Mawimbi Maji Street",Rural,Amanzi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2207,SoRu39418224,"9 Amadou & Mariam Avenue",Rural,Sokoto,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2208,HaAm15978224,"181 Garang Street",Amina,Hawassa,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2209,AkRu04592224,"42 Marrakech Avenue",Rural,Akatsi,tap_in_home_broken,NULL,NULL,Backlog,NULL,NULL
2210,KiRu29306224,"62 Bahari Ya Faraja Road",Rural,Kilimani,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2211,AmRu14089224,"32 Senghor Way",Rural,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2212,AmPw12670224,"190 Lagos Street",Pwani,Amanzi,shared_tap,NULL,NULL,Backlog,NULL,NULL
2213,SoMa33629224,"19 Luxor Avenue",Majengo,Sokoto,well,"Contaminated: Biological","Install UV filter",Backlog,NULL,NULL
2214,KiZu30891224,"61 Yaounde Street",Zuri,Kilimani,shared_tap,NULL,NULL,Backlog,NULL,NULL
